spa,msl,spa_n_caracteres,spa_n_palabras,spa_n_tokens_unicos,spa_longitud_media_palabra,spa_ratio_diversidad,msl_n_caracteres,msl_n_palabras,msl_n_tokens_unicos,msl_longitud_media_palabra,msl_ratio_diversidad,compresion_palabras,ratio_compresion,bin_long_spa
ella quiere dormir,ella dormir querer,18.0,3.0,3.0,5.333333333333333,1.0,18.0,3.0,3.0,5.333333333333333,1.0,0.0,1.0,3 palabras
él quiere dormir,él dormir querer,16.0,3.0,3.0,4.666666666666667,1.0,16.0,3.0,3.0,4.666666666666667,1.0,0.0,1.0,3 palabras
quieren dormir,ellos (as)/ustedes dormir querer,14.0,2.0,2.0,6.5,1.0,32.0,5.0,5.0,5.2,1.0,-3.0,2.5,2 palabras
ellos quieren dormir,ellos dormir querer,20.0,3.0,3.0,6.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,0.0,1.0,3 palabras
ellas quieren dormir,ellas dormir querer,20.0,3.0,3.0,6.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,0.0,1.0,3 palabras
queremos dormir,nosotros dormir querer,15.0,2.0,2.0,7.0,1.0,22.0,3.0,3.0,6.666666666666667,1.0,-1.0,1.5,2 palabras
nosotros queremos dormir,nosotros dormir querer,24.0,3.0,3.0,7.333333333333333,1.0,22.0,3.0,3.0,6.666666666666667,1.0,0.0,1.0,3 palabras
quiero descansar,yo descansar querer,16.0,2.0,2.0,7.5,1.0,19.0,3.0,3.0,5.666666666666667,1.0,-1.0,1.5,2 palabras
quieres descansar,tú descansar querer,17.0,2.0,2.0,8.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,-1.0,1.5,2 palabras
él quiere descansar,él descansar querer,19.0,3.0,3.0,5.666666666666667,1.0,19.0,3.0,3.0,5.666666666666667,1.0,0.0,1.0,3 palabras
ustedes quieren descansar,ustedes descansar querer,25.0,3.0,3.0,7.666666666666667,1.0,24.0,3.0,3.0,7.333333333333333,1.0,0.0,1.0,3 palabras
ellos quieren descansar,ellos descansar querer,23.0,3.0,3.0,7.0,1.0,22.0,3.0,3.0,6.666666666666667,1.0,0.0,1.0,3 palabras
ellas quieren descansar,ellas descansar querer,23.0,3.0,3.0,7.0,1.0,22.0,3.0,3.0,6.666666666666667,1.0,0.0,1.0,3 palabras
quieren descansar,ellos (as) (ustedes) descansar querer,17.0,2.0,2.0,8.0,1.0,37.0,5.0,5.0,5.8,1.0,-3.0,2.5,2 palabras
queremos descansar,nosotros descansar querer,18.0,2.0,2.0,8.5,1.0,25.0,3.0,3.0,7.666666666666667,1.0,-1.0,1.5,2 palabras
nosotros queremos descansar,nosotros descansar querer,27.0,3.0,3.0,8.333333333333334,1.0,25.0,3.0,3.0,7.666666666666667,1.0,0.0,1.0,3 palabras
los niños quieren descansar,niño ellos descansar querer,27.0,4.0,4.0,6.0,1.0,27.0,4.0,4.0,6.0,1.0,0.0,1.0,4 palabras
las niñas quieren descansar,niño mujer ellas descansar,27.0,4.0,4.0,6.0,1.0,26.0,4.0,4.0,5.75,1.0,0.0,1.0,4 palabras
mi tía quiere descansar,tío mujer mía descansar querer,23.0,4.0,4.0,5.0,1.0,30.0,5.0,5.0,5.2,1.0,-1.0,1.25,4 palabras
mi tío quiere descansar,tío mío descansar querer,23.0,4.0,4.0,5.0,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
mi abuelo quiere descansar,abuelo mío descansar querer,26.0,4.0,4.0,5.75,1.0,27.0,4.0,4.0,6.0,1.0,0.0,1.0,4 palabras
mi abuela quiere descansar,abuelo mujer mía descansar querer,26.0,4.0,4.0,5.75,1.0,33.0,5.0,5.0,5.8,1.0,-1.0,1.25,4 palabras
mi sobrina quiere descansar,sobrino mujer mía descansar querer,27.0,4.0,4.0,6.0,1.0,34.0,5.0,5.0,6.0,1.0,-1.0,1.25,4 palabras
mi sobrino quiere descansar,sobrino mío descansar querer,27.0,4.0,4.0,6.0,1.0,28.0,4.0,4.0,6.25,1.0,0.0,1.0,4 palabras
mi hija quiere descansar,hijo mujer mía descansar querer,24.0,4.0,4.0,5.25,1.0,31.0,5.0,5.0,5.4,1.0,-1.0,1.25,4 palabras
mi hijo quiere descansar,hijo mía descansar querer,24.0,4.0,4.0,5.25,1.0,25.0,4.0,4.0,5.5,1.0,0.0,1.0,4 palabras
yo estudio inglés todos los días,todos los días yo inglés estudiar,32.0,6.0,6.0,4.5,1.0,33.0,6.0,6.0,4.666666666666667,1.0,0.0,1.0,6 palabras
tú estudias inglés todos los días,todos los días tú inglés estudiar,33.0,6.0,6.0,4.666666666666667,1.0,33.0,6.0,6.0,4.666666666666667,1.0,0.0,1.0,6 palabras
él estudia inglés todos los días,todos los días él inglés estudiar,32.0,6.0,6.0,4.5,1.0,33.0,6.0,6.0,4.666666666666667,1.0,0.0,1.0,6 palabras
ella estudia inglés todos los días,todos los días ella inglés estudiar,34.0,6.0,6.0,4.833333333333333,1.0,35.0,6.0,6.0,5.0,1.0,0.0,1.0,6 palabras
nosotros estudiamos inglés todos los días,todos los días nosotros inglés estudiar,41.0,6.0,6.0,6.0,1.0,39.0,6.0,6.0,5.666666666666667,1.0,0.0,1.0,6 palabras
ellos estudian inglés todos los días,todos los días ellos inglés estudiar,36.0,6.0,6.0,5.166666666666667,1.0,36.0,6.0,6.0,5.166666666666667,1.0,0.0,1.0,6 palabras
ellas estudian inglés todos los días,todos los días ellas inglés estudiar,36.0,6.0,6.0,5.166666666666667,1.0,36.0,6.0,6.0,5.166666666666667,1.0,0.0,1.0,6 palabras
estudian inglés todos los días,todos los días ellos (as) (ustedes) inglés estudiar,30.0,5.0,5.0,5.2,1.0,51.0,8.0,8.0,5.0,1.0,-3.0,1.6,5 palabras
mi mamá estudia inglés todos los días,todos los días mamá mía inglés estudiar,37.0,7.0,7.0,4.428571428571429,1.0,39.0,7.0,7.0,4.714285714285714,1.0,0.0,1.0,≥7 palabras
mi papá estudia inglés todos los días,todos los días papá mío inglés estudiar,37.0,7.0,7.0,4.428571428571429,1.0,39.0,7.0,7.0,4.714285714285714,1.0,0.0,1.0,≥7 palabras
las niñas estudian inglés todos los días,todos los días niño mujer ellas inglés estudiar,40.0,7.0,7.0,4.857142857142857,1.0,47.0,8.0,8.0,5.0,1.0,-1.0,1.1428571428571428,≥7 palabras
los niños estudian inglés todos los días,todos los días niño ellos inglés estudiar,40.0,7.0,6.0,4.857142857142857,0.8571428571428571,41.0,7.0,7.0,5.0,1.0,0.0,1.0,≥7 palabras
mi novio estudia inglés todos los días,todos los días novio mío ingles estudiar,38.0,7.0,7.0,4.571428571428571,1.0,40.0,7.0,7.0,4.857142857142857,1.0,0.0,1.0,≥7 palabras
quiero enseñar,yo enseñar querer,14.0,2.0,2.0,6.5,1.0,17.0,3.0,3.0,5.0,1.0,-1.0,1.5,2 palabras
yo camino,yo caminar,9.0,2.0,2.0,4.0,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
él camina,él caminar,9.0,2.0,2.0,4.0,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
tú caminas,tú caminar,10.0,2.0,2.0,4.5,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
ella camina,ella caminar,11.0,2.0,2.0,5.0,1.0,12.0,2.0,2.0,5.5,1.0,0.0,1.0,2 palabras
nosotros caminamos,nosotros caminar,18.0,2.0,2.0,8.5,1.0,16.0,2.0,2.0,7.5,1.0,0.0,1.0,2 palabras
ustedes caminan,ustedes caminar,15.0,2.0,2.0,7.0,1.0,15.0,2.0,2.0,7.0,1.0,0.0,1.0,2 palabras
ellos caminan,ellos caminar,13.0,2.0,2.0,6.0,1.0,13.0,2.0,2.0,6.0,1.0,0.0,1.0,2 palabras
ella es agradable,ella agradable,17.0,3.0,3.0,5.0,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
yo soy agradable,yo agradable,16.0,3.0,3.0,4.666666666666667,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
él es agradable,él agradable,15.0,3.0,3.0,4.333333333333333,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
tú eres agradable,tú agradable,17.0,3.0,3.0,5.0,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
nosotros somos agradables,nosotros agradables,25.0,3.0,3.0,7.666666666666667,1.0,19.0,2.0,2.0,9.0,1.0,1.0,0.6666666666666666,3 palabras
ustedes son agradables,ustedes agradables,22.0,3.0,3.0,6.666666666666667,1.0,18.0,2.0,2.0,8.5,1.0,1.0,0.6666666666666666,3 palabras
ellos son agradables,ellos agradables,20.0,3.0,3.0,6.0,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
yo estoy ocupada,yo ocupada,16.0,3.0,3.0,4.666666666666667,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
tú estás ocupada,tú ocupada,16.0,3.0,3.0,4.666666666666667,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
ella está ocupada,ella ocupada,17.0,3.0,3.0,5.0,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
él está ocupado,él ocupado,15.0,3.0,3.0,4.333333333333333,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
nosotros estamos ocupados,nosotros ocupados,25.0,3.0,3.0,7.666666666666667,1.0,17.0,2.0,2.0,8.0,1.0,1.0,0.6666666666666666,3 palabras
ellos están ocupados,ellos ocupados,20.0,3.0,3.0,6.0,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
ellas están ocupadas,ellas ocupadas,20.0,3.0,3.0,6.0,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
yo soy simpática,yo simpática,16.0,3.0,3.0,4.666666666666667,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
tú eres simpática,tú simpática,17.0,3.0,3.0,5.0,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
él es simpático,él simpático,15.0,3.0,3.0,4.333333333333333,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
ella es simpática,ella simpática,17.0,3.0,3.0,5.0,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
nosotros somos simpáticos,nosotros simpáticos,25.0,3.0,3.0,7.666666666666667,1.0,19.0,2.0,2.0,9.0,1.0,1.0,0.6666666666666666,3 palabras
ellos son simpáticos,ellos simpáticos,20.0,3.0,3.0,6.0,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
ellas son simpáticas,ellas simpáticas,20.0,3.0,3.0,6.0,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
yo soy amable,yo amable,13.0,3.0,3.0,3.6666666666666665,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
ella es amable,ella amable,14.0,3.0,3.0,4.0,1.0,11.0,2.0,2.0,5.0,1.0,1.0,0.6666666666666666,3 palabras
él es amable,él amable,12.0,3.0,3.0,3.3333333333333335,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
nosotros somos amables,nosotros amables,22.0,3.0,3.0,6.666666666666667,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
ustedes son amables,ustedes amables,19.0,3.0,3.0,5.666666666666667,1.0,15.0,2.0,2.0,7.0,1.0,1.0,0.6666666666666666,3 palabras
ellos son amables,ellos amables,17.0,3.0,3.0,5.0,1.0,13.0,2.0,2.0,6.0,1.0,1.0,0.6666666666666666,3 palabras
ellas son amables,ellas amables,17.0,3.0,3.0,5.0,1.0,13.0,2.0,2.0,6.0,1.0,1.0,0.6666666666666666,3 palabras
mi mamá es amable,mamá mía amable,17.0,4.0,4.0,3.5,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
mi papá es amable,papá mío amable,17.0,4.0,4.0,3.5,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
el maestro es amable,maestro amable,20.0,4.0,4.0,4.25,1.0,14.0,2.0,2.0,6.5,1.0,2.0,0.5,4 palabras
la maestra es amable,maestro mujer amable,20.0,4.0,4.0,4.25,1.0,20.0,3.0,3.0,6.0,1.0,1.0,0.75,4 palabras
mi hermano es amable,hermano mío amable,20.0,4.0,4.0,4.25,1.0,18.0,3.0,3.0,5.333333333333333,1.0,1.0,0.75,4 palabras
mi hermana es amable,hermano mujer mía amable,20.0,4.0,4.0,4.25,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
mi primo es amable,primo mío amable,18.0,4.0,4.0,3.75,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
mi prima es amable,prima mía amable,18.0,4.0,4.0,3.75,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
mi tía es amable,tía mía amable,16.0,4.0,4.0,3.25,1.0,14.0,3.0,3.0,4.0,1.0,1.0,0.75,4 palabras
mi tío es amable,tío mío amable,16.0,4.0,4.0,3.25,1.0,14.0,3.0,3.0,4.0,1.0,1.0,0.75,4 palabras
yo soy gentil,yo gentil,13.0,3.0,3.0,3.6666666666666665,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
tú eres gentil,tú gentil,14.0,3.0,3.0,4.0,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
él es gentil,él gentil,12.0,3.0,3.0,3.3333333333333335,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
ella es gentil,ella gentil,14.0,3.0,3.0,4.0,1.0,11.0,2.0,2.0,5.0,1.0,1.0,0.6666666666666666,3 palabras
nosotros gentiles,nosotros gentiles,17.0,2.0,2.0,8.0,1.0,17.0,2.0,2.0,8.0,1.0,0.0,1.0,2 palabras
ustedes son gentiles,ustedes gentiles,20.0,3.0,3.0,6.0,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
ellos son gentiles,ellos gentiles,18.0,3.0,3.0,5.333333333333333,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
ellas son gentiles,ellas gentiles,18.0,3.0,3.0,5.333333333333333,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
yo loco,yo loco,7.0,2.0,2.0,3.0,1.0,7.0,2.0,2.0,3.0,1.0,0.0,1.0,2 palabras
yo loca,yo loca,7.0,2.0,2.0,3.0,1.0,7.0,2.0,2.0,3.0,1.0,0.0,1.0,2 palabras
tú estás loco,tú loco,13.0,3.0,3.0,3.6666666666666665,1.0,7.0,2.0,2.0,3.0,1.0,1.0,0.6666666666666666,3 palabras
tú estás loca,tú loca,13.0,3.0,3.0,3.6666666666666665,1.0,7.0,2.0,2.0,3.0,1.0,1.0,0.6666666666666666,3 palabras
ella está loca,ella loca,14.0,3.0,3.0,4.0,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
nosotros estamos locos,nosotros locos,22.0,3.0,3.0,6.666666666666667,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
ustedes están locos,ustedes locos,19.0,3.0,3.0,5.666666666666667,1.0,13.0,2.0,2.0,6.0,1.0,1.0,0.6666666666666666,3 palabras
ellos están locos,ellos locos,17.0,3.0,3.0,5.0,1.0,11.0,2.0,2.0,5.0,1.0,1.0,0.6666666666666666,3 palabras
mi tío está loco,tío mío loco,16.0,4.0,4.0,3.25,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,1.0,0.75,4 palabras
mi tía está loca,tía mía loca,16.0,4.0,4.0,3.25,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,1.0,0.75,4 palabras
mi mamá está loca,mamá mía loca,17.0,4.0,4.0,3.5,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,1.0,0.75,4 palabras
mi papá está loco,papá mío loco,17.0,4.0,4.0,3.5,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,1.0,0.75,4 palabras
mi hija está loca,hijo mujer mía loca,17.0,4.0,4.0,3.5,1.0,19.0,4.0,4.0,4.0,1.0,0.0,1.0,4 palabras
mi hijo está loco,hijo mío loco,17.0,4.0,4.0,3.5,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,1.0,0.75,4 palabras
la niña está loca,niño mujer loca,17.0,4.0,4.0,3.5,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
el niño está loco,niño loco,17.0,4.0,4.0,3.5,1.0,9.0,2.0,2.0,4.0,1.0,2.0,0.5,4 palabras
ellas están locas,ellas locas,17.0,3.0,3.0,5.0,1.0,11.0,2.0,2.0,5.0,1.0,1.0,0.6666666666666666,3 palabras
yo soy feliz,yo feliz así,12.0,3.0,3.0,3.3333333333333335,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,0.0,1.0,3 palabras
tú eres feliz,tú feliz así,13.0,3.0,3.0,3.6666666666666665,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,0.0,1.0,3 palabras
ella es feliz,ella feliz así,13.0,3.0,3.0,3.6666666666666665,1.0,14.0,3.0,3.0,4.0,1.0,0.0,1.0,3 palabras
ella está feliz,ella feliz,15.0,3.0,3.0,4.333333333333333,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
él es feliz,él feliz así,11.0,3.0,3.0,3.0,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,0.0,1.0,3 palabras
él está feliz,él feliz,13.0,3.0,3.0,3.6666666666666665,1.0,8.0,2.0,2.0,3.5,1.0,1.0,0.6666666666666666,3 palabras
nosotros somos felices,nosotros felices así,22.0,3.0,3.0,6.666666666666667,1.0,20.0,3.0,3.0,6.0,1.0,0.0,1.0,3 palabras
nosotros estamos felices,nosotros felices,24.0,3.0,3.0,7.333333333333333,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
ustedes son felices,ustedes felices así,19.0,3.0,3.0,5.666666666666667,1.0,19.0,3.0,3.0,5.666666666666667,1.0,0.0,1.0,3 palabras
ustedes están felices,ustedes felices,21.0,3.0,3.0,6.333333333333333,1.0,15.0,2.0,2.0,7.0,1.0,1.0,0.6666666666666666,3 palabras
ellos son felices,ellos felices así,17.0,3.0,3.0,5.0,1.0,17.0,3.0,3.0,5.0,1.0,0.0,1.0,3 palabras
ella es tranquila,ella tranquila,17.0,3.0,3.0,5.0,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
él es tranquilo,él tranquilo,15.0,3.0,3.0,4.333333333333333,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
soy tranquilo,yo tranquilo,13.0,2.0,2.0,6.0,1.0,12.0,2.0,2.0,5.5,1.0,0.0,1.0,2 palabras
tú eres tranquilo,tú tranquilo,17.0,3.0,3.0,5.0,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
nosotros somos tranquilos,nosotros tranquilos,25.0,3.0,3.0,7.666666666666667,1.0,19.0,2.0,2.0,9.0,1.0,1.0,0.6666666666666666,3 palabras
ustedes son tranquilos,ustedes tranquilos,22.0,3.0,3.0,6.666666666666667,1.0,18.0,2.0,2.0,8.5,1.0,1.0,0.6666666666666666,3 palabras
son tranquilos,ellos (as) (ustedes) tranquilos,14.0,2.0,2.0,6.5,1.0,31.0,4.0,4.0,6.0,1.0,-2.0,2.0,2 palabras
ellos son tranquilos,ellos tranquilos,20.0,3.0,3.0,6.0,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
ellas son tranquilas,ellas tranquilas,20.0,3.0,3.0,6.0,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
somos tranquilos,nosotros tranquilos,16.0,2.0,2.0,7.5,1.0,19.0,2.0,2.0,9.0,1.0,0.0,1.0,2 palabras
estoy ocupada,yo ocupada,13.0,2.0,2.0,6.0,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
estoy ocupado,yo ocupado,13.0,2.0,2.0,6.0,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
estamos ocupados,nosotros ocupados,16.0,2.0,2.0,7.5,1.0,17.0,2.0,2.0,8.0,1.0,0.0,1.0,2 palabras
nosotros estamos ocupados,nosotros ocupados,25.0,3.0,3.0,7.666666666666667,1.0,17.0,2.0,2.0,8.0,1.0,1.0,0.6666666666666666,3 palabras
están ocupados,ellos (as) (ustedes) ocupados,14.0,2.0,2.0,6.5,1.0,29.0,4.0,4.0,5.5,1.0,-2.0,2.0,2 palabras
ella estaba ocupada ayer,ayer ella ocupada,24.0,4.0,4.0,5.25,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
él estaba ocupado ayer,ayer él ocupado,22.0,4.0,4.0,4.75,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
yo estaba ocupado ayer,ayer yo ocupado,22.0,4.0,4.0,4.75,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
estábamos ocupados ayer,ayer nosotros ocupados,23.0,3.0,3.0,7.0,1.0,22.0,3.0,3.0,6.666666666666667,1.0,0.0,1.0,3 palabras
ellas estaban ocupadas ayer,ayer ellas ocupadas,27.0,4.0,4.0,6.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
ellos estaban ocupados ayer,ayer ellos ocupados,27.0,4.0,4.0,6.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
estaban ocupados ayer,ayer ellos (as) (ustedes) ocupados,21.0,3.0,3.0,6.333333333333333,1.0,34.0,5.0,5.0,5.2,1.0,-2.0,1.6666666666666667,3 palabras
ustedes estaban ocupados ayer,ayer ustedes ocupados,29.0,4.0,4.0,6.5,1.0,21.0,3.0,3.0,6.333333333333333,1.0,1.0,0.75,4 palabras
mi mamá estaba ocupada ayer,ayer mamá ocupada,27.0,5.0,5.0,4.6,1.0,17.0,3.0,3.0,5.0,1.0,2.0,0.6,5 palabras
mi papá estaba ocupado ayer,ayer papá ocupado,27.0,5.0,5.0,4.6,1.0,17.0,3.0,3.0,5.0,1.0,2.0,0.6,5 palabras
mi hermano estaba ocupado ayer,ayer hermano mío ocupado,30.0,5.0,5.0,5.2,1.0,24.0,4.0,4.0,5.25,1.0,1.0,0.8,5 palabras
mi hermana estaba ocupada ayer,ayer hermano mujer mía ocupada,30.0,5.0,5.0,5.2,1.0,30.0,5.0,5.0,5.2,1.0,0.0,1.0,5 palabras
mi novio estaba ocupado ayer,ayer novio mío ocupado,28.0,5.0,5.0,4.8,1.0,22.0,4.0,4.0,4.75,1.0,1.0,0.8,5 palabras
mi novia estaba ocupada ayer,ayer novio mujer mía ocupada,28.0,5.0,5.0,4.8,1.0,28.0,5.0,5.0,4.8,1.0,0.0,1.0,5 palabras
mi tío estaba ocupado ayer,ayer tío mío ocupado,26.0,5.0,5.0,4.4,1.0,20.0,4.0,4.0,4.25,1.0,1.0,0.8,5 palabras
mi tía estaba ocupada ayer,ayer tío mujer ocupada,26.0,5.0,5.0,4.4,1.0,22.0,4.0,4.0,4.75,1.0,1.0,0.8,5 palabras
los niños estaban ocupados ayer,ayer niño ellos ocupados,31.0,5.0,5.0,5.4,1.0,24.0,4.0,4.0,5.25,1.0,1.0,0.8,5 palabras
las niñas estaban ocupadas ayer,ayer niño mujer ellas ocupadas,31.0,5.0,5.0,5.4,1.0,30.0,5.0,5.0,5.2,1.0,0.0,1.0,5 palabras
mi abuelo estaba ocupado ayer,ayer abuelo mío ocupado,29.0,5.0,5.0,5.0,1.0,23.0,4.0,4.0,5.0,1.0,1.0,0.8,5 palabras
mi abuela estaba ocupada ayer,ayer abuela mía ocupada,29.0,5.0,5.0,5.0,1.0,23.0,4.0,4.0,5.0,1.0,1.0,0.8,5 palabras
yo como pizza,yo pizza comer,13.0,3.0,3.0,3.6666666666666665,1.0,14.0,3.0,3.0,4.0,1.0,0.0,1.0,3 palabras
tú comes hamburguesa con papas,tú hamburguesa papas comer,30.0,5.0,5.0,5.2,1.0,26.0,4.0,4.0,5.75,1.0,1.0,0.8,5 palabras
él come ensalada,él ensalada comer,16.0,3.0,3.0,4.666666666666667,1.0,17.0,3.0,3.0,5.0,1.0,0.0,1.0,3 palabras
nosotros comemos pastel de chocolate,nosotros pastel chocolate comer,36.0,5.0,5.0,6.4,1.0,31.0,4.0,4.0,7.0,1.0,1.0,0.8,5 palabras
ustedes comen un hotdog,ustedes hotdog comer,23.0,4.0,4.0,5.0,1.0,20.0,3.0,3.0,6.0,1.0,1.0,0.75,4 palabras
ellos comen caldo de pollo,ellos caldo pollo comer,26.0,5.0,5.0,4.4,1.0,23.0,4.0,4.0,5.0,1.0,1.0,0.8,5 palabras
ellas comen una manzana,ellas manzana comer,23.0,4.0,4.0,5.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
comen ensalada,ellos (as) (ustedes) ensalada comer,14.0,2.0,2.0,6.5,1.0,35.0,5.0,5.0,5.4,1.0,-3.0,2.5,2 palabras
mi mamá come yogur,mamá mía yogur comer,18.0,4.0,4.0,3.75,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
mi papá come pasta,papá mío pasta comer,18.0,4.0,4.0,3.75,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
mi hermana come pescado,hermano mujer mía pescado comer,23.0,4.0,4.0,5.0,1.0,31.0,5.0,5.0,5.4,1.0,-1.0,1.25,4 palabras
mi hermano come pollo,hermano mío pollo comer,21.0,4.0,4.0,4.5,1.0,23.0,4.0,4.0,5.0,1.0,0.0,1.0,4 palabras
mi tía come helado de chocolate,tío mujer mía helado chocolate comer,31.0,6.0,6.0,4.333333333333333,1.0,36.0,6.0,6.0,5.166666666666667,1.0,0.0,1.0,6 palabras
mi tío come gelatina de fresa,tío mío gelatina frase comer,29.0,6.0,6.0,4.0,1.0,28.0,5.0,5.0,4.8,1.0,1.0,0.8333333333333334,6 palabras
mi abuelo come una manzana,abuelo mío manzana comer,26.0,5.0,5.0,4.4,1.0,24.0,4.0,4.0,5.25,1.0,1.0,0.8,5 palabras
mi abuela come pastel de chocolate,abuelo mujer mía pastel chocolate comer,34.0,6.0,6.0,4.833333333333333,1.0,39.0,6.0,6.0,5.666666666666667,1.0,0.0,1.0,6 palabras
mi novio come pizza,novio mío pizza comer,19.0,4.0,4.0,4.0,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
mi novia come yogur,novio mujer mío yogur comer,19.0,4.0,4.0,4.0,1.0,27.0,5.0,5.0,4.6,1.0,-1.0,1.25,4 palabras
mi amigo come ensalada,amigo mío ensalada comer,22.0,4.0,4.0,4.75,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
mi amiga come pan dulce,amigo mujer mía pan dulce comer,23.0,5.0,5.0,3.8,1.0,31.0,6.0,6.0,4.333333333333333,1.0,-1.0,1.2,5 palabras
tu mamá come un hotdog,mamá tuya hotdog comer,22.0,5.0,5.0,3.6,1.0,22.0,4.0,4.0,4.75,1.0,1.0,0.8,5 palabras
